id,owner_id,book_id,content,created_at,updated_at,is_active
1,1,1,"Я не знаю, что сказать… Это круто! Это нереально круто! Такого сопереживания героям у меня давно не было. Язык, подача – всё в лучших традициях фантастов старой гвардии. Лично у меня больше ассоциаций с Ханлайном, простите уж за столь смелое сравнение. Но финал… Авторы, я жду вторую книгу!!!",2018-10-05,,true
2,2,1,"Очень хорошая фантастика. Начал читать, ожидая боевую фантастику, получил… Наверное, социальную, и не пожалел. Отличное разхвитие персонажей, изменение их характеров, имеется интрига, язык – отличный, редкий случай, когда глаза не кровоточат. В общем, понравилось, спасибо. Взялся за вторую книгу.",2019-02-24,,true
3,3,1,"Отлично! Хорошее произведение, каких сегодня мало. Реалистичный взгляд на жизнь, продуманный мир, до мелочей прописанные характеры героев и персонажей. Я читал с удовольствием.",2019-10-05,,true
4,4,1,"Достойное произведение, раскрывающее авторов с совершенно другого бока! Здесь в меру всего – действий, мыслей, диалогов, заложенного смысла. Рекомендую всем, кому нравится качественная литература.",2019-03-07,,true
5,5,1,"Прочитал на одном дыхании. Классно написана книга. Лучше сразу ищите вторую. Я вот страдаю от того, что в третьей книги авторы написали лишь 6 глав, а остальные в процессе.",2019-02-19,,true
6,6,1,"Потрясающе… Блин, я думал что в сети уже все «понизили градус качества» но нет, еще пишут авторы реально. Сподобился даже отзыв написать. Может в интернете тоже рано или поздно начнут писать качественно?",2019-03-24,,true
7,7,1,"Отличное произведение. Эдакая смесь вселенной «Бегущего по лезвию» с добротной фантастикой, в духе старых мэтров жанра. Не смотря на неторопливое повествование, захватывает. Жаль, тут только первая часть – подозреваю, что самый «взрыв» событий произойдёт дальше, а тут – только разогрев читателя.",2019-03-29,,true
8,8,1,"Понравилось, сюжет немного предсказуем, но написано с душой. Переживания ГГ, как будто сам переживаю, и ревность, и влюблённость. Жду вторую книгу!",2019-05-06,,true
9,2,2,"Автору РЕСПЕКТ!!! Не задумываясь покупаю его произведения! По своей сути все его серии, глубоко проработанные стратегии. Постоянно удивляюсь неожиданным выкрутасам сюжета! ГГ из глубокой за.....ы выбирается благодаря самодисциплине и упорству!!! Интеллект и некие глубинные знания позволяют сначала поднять голову и, затем, начать подниматься с колен! Буду читать дальше! Автору 5*!!! Рекомендую!",2020-05-30,,true
10,3,2,"Ну, не знаю… Сюжет вроде бы неплох, но смакование автором дерьма, насилия и крови зашкаливает. Я люблю острые сюжеты с элементами чернухи, но не в такой же степени! Первую книгу прочитала чуть больше половины. Дальше не идет. Жаль.",2020-11-29,,true
11,4,2,"книжка офигенная залетела за один день , сюжет чем то напоминает бегущего в лабиринте , но самобытен по своему . книжку рекомендую к прочтению никакой черхуни нет!",2019-11-25,,true
12,5,2,"Читается легко, деле тех кто знаком с творчеством автора должно зайти. Из минусов: ужасно много опечаток, такое ощущение, что текст не проходил проверку перед выставление на продажу.",2019-11-25,,true
13,6,2,"Книга интересно читается,хотелось бы узнать дальнейшее развитие событий,что далее будет с главными героями, очень надеюсь на продолжение данной серии.",2019-10-28,,true
